text,processed,polarity_score,polarity
Hotel dengan kamar yang besar dan bersih.,hotel kamar bersih,1,positive
"Staff ramah, makanan enak. Lokasinya strategis.",staff ramah makan enak lokasi strategis,11,positive
Setiap ke Bandung selalu nginep di hotel ini. Fasilitas nya oke banget. Makanannya juga bervariasi dan enak-enak semua.,bandung nginep hotel fasilitas nya oke banget makan variasi enak enak,16,positive
"Pelayanan ramah, lokasi strategis dekat dengan Braga, ada mini mart 24 jam di hotel jadi mudah KL membutuhkan makanan, kamar bersih dan Alhamdulillah mendapatkan best view",layan ramah lokasi strategis braga mini mart jam hotel mudah kl butuh makan kamar bersih alhamdulillah best view,13,positive
"Menginap di sini saat hotel-hotel pada full booked karena banyak event. Kamar luas banget. Makanan enak-enak. Tapi karena tamu hotel full, harus milih sesi sarapan. Restoran di lantai atas saat jumat jadi mesjid yang luas banget. Deket dari pusat kuliner dan perbelanjaan.",inap hotel hotel full booked event kamar luas banget makan enak enak tamu hotel full milih sesi sarap restoran lantai jumat mesjid luas banget deket pusat kuliner belanja,29,positive
"Pelayanan bagus, hotelnya bagus, makanan enak.",layan bagus hotel bagus makan enak,13,positive
"Ruangan luas, bersih dan nyaman dengan 2 kamar tidur cocok untuk keluarga saya dengan 3 anak.",ruang luas bersih nyaman kamar tidur cocok keluarga anak,12,positive
"Hotel ter-the best, beberapa kali nginep di sini selalu terkesan. Terutama kids friendly.",hotel ter the best kali nginep kes kids friendly,4,positive
"Housekeeping cepat tanggap saat kami membutuhkan pergantian seprei (karena ada yang masuk angin, sehingga mengotori seprei). Staffnya semua ramah-ramah dan menyenangkan.",housekeeping cepat tanggap butuh ganti seprei masuk angin kotor seprei staffnya ramah ramah senang,11,positive
"Overall Nice. Hotel nya nyaman, Kamar nya Nyaman, Pilihan Makanan nya Nyaman. Cuma sayang nya Anak ku umur 5 tahun, dikenakan biaga sarapan 75.000 rupiah. Aku mesan 2 kamar tipe Studio king.",overall nice hotel nya nyaman kamar nya nyaman pilih makan nya nyaman sayang nya anak ku umur kena biaga sarap rupiah mesan kamar tipe studio king,20,positive
"Tempatnya strategis di pusat kota Bandung, dekat kemana-mana.",strategis pusat kota bandung,1,positive
"Hotelnya homey, fasilitas lengkap, ada mini market di bawah, akses kemana-mana mudah. Thanks",hotel homey fasilitas lengkap mini market akses mudah thanks,14,positive
Hotel bagus dan makanan lengkap.,hotel bagus makan lengkap,6,positive
